x, y, th, ts, 
4.062553882598877, 0.9205428957939148, -0.06290695956095807, 1732834277577756191, 
4.072596073150635, 0.920059859752655, -0.03185389469398727, 1732834277675957111, 
4.082314968109131, 0.9198399186134338, -0.005966724049869602, 1732834277774599486, 
4.09334135055542, 0.9196517467498779, 0.014818725828557526, 1732834277884747925, 
4.1023640632629395, 0.9198678731918335, 0.02669422897664895, 1732834277977742596, 
4.112334728240967, 0.9202539920806885, 0.03850248898540177, 1732834278077039497, 
4.122174263000488, 0.9205658435821533, 0.04963405943914493, 1732834278174262758, 
4.132695198059082, 0.9209062457084656, 0.0563816618362162, 1732834278283957713, 
4.137405872344971, 0.9214550852775574, 0.057299789098383035, 1732834278334852715, 
4.1519083976745605, 0.9221022129058838, 0.06467631466387924, 1732834278476807286, 
4.161643981933594, 0.9227122664451599, 0.0669619418089183, 1732834278573913108, 
4.172042369842529, 0.9233759641647339, 0.061117488539465525, 1732834278683937874, 
4.181055068969727, 0.9238494038581848, 0.05678596015128461, 1732834278777708487, 
4.190829753875732, 0.9242178201675415, 0.054559664489268564, 1732834278876820738, 
4.201784610748291, 0.9246974587440491, 0.05325245209250747, 1732834278987773149, 
4.211274147033691, 0.9251552224159241, 0.050568387983613586, 1732834279083899837, 
4.220316410064697, 0.925464928150177, 0.04427521517620788, 1732834279177725282, 
4.230147838592529, 0.9258641004562378, 0.03918456876343403, 1732834279276833432, 
4.239910125732422, 0.9262368083000183, 0.03606658222814056, 1732834279374069907, 
4.250955581665039, 0.9265817999839783, 0.03392657619681502, 1732834279483980048, 
4.259948253631592, 0.9267916679382324, 0.03377325293122651, 1732834279577731148, 
4.269783973693848, 0.9270060658454895, 0.031311142455081535, 1732834279677829865, 
4.279038906097412, 0.9272133111953735, 0.028433009500389312, 1732834279774370812, 
4.289792537689209, 0.9274613857269287, 0.027486228247176076, 1732834279884744312, 
4.29910945892334, 0.9277178049087524, 0.02885854002831624, 1732834279977741758, 
4.309331893920898, 0.9278455376625061, 0.028463969537147676, 1732834280076826690, 
4.318859100341797, 0.9281700253486633, 0.025822333741442296, 1732834280173975792, 
4.329306125640869, 0.9283559322357178, 0.024384691098516317, 1732834280284874116, 
4.338472366333008, 0.9284622669219971, 0.02520578367946332, 1732834280377734966, 
4.348459720611572, 0.928589403629303, 0.02565996433531313, 1732834280476839228, 
4.35904598236084, 0.9287301301956177, 0.02397341795189318, 1732834280587886084, 
4.368384838104248, 0.9289661049842834, 0.022456839683335384, 1732834280684759167, 
4.377610206604004, 0.9291251301765442, 0.02097508907764283, 1732834280777740460, 
4.387523651123047, 0.9293264150619507, 0.01875352650155157, 1732834280877880197, 
4.397038459777832, 0.9294428825378418, 0.016582989610101483, 1732834280975024175, 
4.4077558517456055, 0.9296332001686096, 0.01614312556096593, 1732834281084690078, 
4.4167799949646, 0.9295923113822937, 0.01490502926409794, 1732834281176981013, 
4.426675796508789, 0.9296269416809082, 0.013127873484153677, 1732834281277698972, 
4.437626361846924, 0.929743230342865, 0.010515059337213127, 1732834281387125084, 
4.447205543518066, 0.9298109412193298, 0.010038705180901221, 1732834281484777014, 
4.456452369689941, 0.9298951625823975, 0.009972193352058085, 1732834281577851852, 
